# JMH version: 1.21
# VM version: JDK 1.8.0_202, Java HotSpot(TM) 64-Bit Server VM, 25.202-b08
# VM invoker: C:\Program Files\Java\jdk1.8.0_202\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option1

# Run progress: 0,00% complete, ETA 00:33:20
# Fork: 1 of 5
# Warmup Iteration   1: 20599560,149 ops/s
# Warmup Iteration   2: 20235113,192 ops/s
# Warmup Iteration   3: 20616433,110 ops/s
# Warmup Iteration   4: 20271378,640 ops/s
# Warmup Iteration   5: 20378715,283 ops/s
# Warmup Iteration   2: 21103565,534 ops/s
# Warmup Iteration   3: 21052155,059 ops/s
# Warmup Iteration   4: 21092240,791 ops/s
# Warmup Iteration   5: 21219988,396 ops/s
Iteration   1: 21205694,106 ops/s
Iteration   2: 21152736,518 ops/s
Iteration   3: 21226349,089 ops/s
Iteration   4: 21272347,758 ops/s
Iteration   5: 21264784,473 ops/s

# Run progress: 20,00% complete, ETA 00:26:45
# Fork: 5 of 5
# Warmup Iteration   1: 21006528,908 ops/s
# Warmup Iteration   2: 21190248,808 ops/s
# Warmup Iteration   3: 21289385,656 ops/s
# Warmup Iteration   4: 21299132,382 ops/s
# Warmup Iteration   5: 21304668,674 ops/s
Iteration   1: 21186710,426 ops/s
Iteration   2: 21232194,166 ops/s
Iteration   3: 21017219,606 ops/s
Iteration   4: 21313944,106 ops/s
Iteration   5: 21292825,531 ops/s


Result "eu.happycoders.int2string.IntToStringBenchmark.option1":
  20939910,070 ±(99.9%) 240239,046 ops/s [Average]
  (min, avg, max) = (20212480,590, 20939910,070, 21313944,106), stdev = 320712,253
  CI (99.9%): [20699671,024, 21180149,116] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_202, Java HotSpot(TM) 64-Bit Server VM, 25.202-b08
# VM invoker: C:\Program Files\Java\jdk1.8.0_202\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option2

# Run progress: 25,00% complete, ETA 00:25:04
# Fork: 1 of 5
# Warmup Iteration   1: 21037012,018 ops/s
# Warmup Iteration   2: 20945017,834 ops/s
# Warmup Iteration   3: 21260565,650 ops/s
# Warmup Iteration   4: 21155027,594 ops/s
# Warmup Iteration   5: 21212906,757 ops/s
Iteration   1: 21240253,511 ops/s
Iteration   2: 21198715,985 ops/s
Iteration   3: 21102150,764 ops/s
Iteration   4: 21275310,157 ops/s
Iteration   5: 21254855,676 ops/s

# Run progress: 30,00% complete, ETA 00:23:24
# Fork: 2 of 5
# Warmup Iteration   1: 20993044,246 ops/s
# Warmup Iteration   2: 21144776,903 ops/s
# Warmup Iteration   3: 21328240,716 ops/s
# Warmup Iteration   4: 21220226,638 ops/s
# Warmup Iteration   5: 21233988,045 ops/s
Iteration   1: 21338189,244 ops/s
Iteration   2: 21283389,132 ops/s
Iteration   3: 21232650,219 ops/s
Iteration   4: 21078070,210 ops/s
Iteration   5: 20596662,139 ops/s

# Run progress: 35,00% complete, ETA 00:21:44
# Fork: 3 of 5
# Warmup Iteration   1: 20013655,149 ops/s
# Warmup Iteration   2: 20551615,930 ops/s
# Warmup Iteration   3: 20887747,312 ops/s
# Warmup Iteration   4: 20867655,827 ops/s
# Warmup Iteration   5: 20846569,863 ops/s
Iteration   1: 20793176,078 ops/s
Iteration   2: 20649480,388 ops/s
Iteration   3: 20768548,703 ops/s
Iteration   4: 20749717,101 ops/s
Iteration   5: 20842450,086 ops/s

# Run progress: 40,00% complete, ETA 00:20:03
# Fork: 4 of 5
# Warmup Iteration   1: 20570767,453 ops/s
# Warmup Iteration   2: 20778130,088 ops/s
# Warmup Iteration   3: 20773506,838 ops/s
# Warmup Iteration   4: 20692500,156 ops/s
# Warmup Iteration   5: 20708770,085 ops/s
Iteration   1: 20725564,863 ops/s
Iteration   2: 20807067,526 ops/s
Iteration   3: 20657731,458 ops/s
Iteration   4: 20830661,210 ops/s
Iteration   5: 20829334,544 ops/s

# Run progress: 45,00% complete, ETA 00:18:23
# Fork: 5 of 5
# Warmup Iteration   1: 20617962,114 ops/s
# Warmup Iteration   2: 20707389,219 ops/s
# Warmup Iteration   3: 20796208,581 ops/s
# Warmup Iteration   4: 20812588,371 ops/s
# Warmup Iteration   5: 20622260,743 ops/s
Iteration   1: 20783303,607 ops/s
Iteration   2: 20776612,039 ops/s
Iteration   3: 20686417,711 ops/s
Iteration   4: 20697352,075 ops/s
Iteration   5: 20811322,664 ops/s


Result "eu.happycoders.int2string.IntToStringBenchmark.option2":
  20920359,484 ±(99.9%) 182461,500 ops/s [Average]
  (min, avg, max) = (20596662,139, 20920359,484, 21338189,244), stdev = 243580,883
  CI (99.9%): [20737897,983, 21102820,984] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_202, Java HotSpot(TM) 64-Bit Server VM, 25.202-b08
# VM invoker: C:\Program Files\Java\jdk1.8.0_202\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option3

# Run progress: 50,00% complete, ETA 00:16:43
# Fork: 1 of 5
# Warmup Iteration   1: 2153366,932 ops/s
# Warmup Iteration   2: 2195751,921 ops/s
# Warmup Iteration   3: 2267315,458 ops/s
# Warmup Iteration   4: 2274182,629 ops/s
# Warmup Iteration   5: 2262960,608 ops/s
Iteration   1: 2147818,057 ops/s
Iteration   2: 2272239,966 ops/s
Iteration   3: 2268654,444 ops/s
Iteration   4: 2252505,876 ops/s
Iteration   5: 2267566,220 ops/s

# Run progress: 55,00% complete, ETA 00:15:03
# Fork: 2 of 5
# Warmup Iteration   1: 2218469,011 ops/s
# Warmup Iteration   2: 2277677,690 ops/s
# Warmup Iteration   3: 2245595,033 ops/s
# Warmup Iteration   4: 2274082,804 ops/s
# Warmup Iteration   5: 2257375,028 ops/s
Iteration   1: 2154020,039 ops/s
Iteration   2: 1971709,758 ops/s
Iteration   3: 2327369,436 ops/s
Iteration   4: 2327263,634 ops/s
Iteration   5: 2337293,485 ops/s

# Run progress: 60,00% complete, ETA 00:13:22
# Fork: 3 of 5
# Warmup Iteration   1: 2274948,671 ops/s
# Warmup Iteration   2: 2351837,837 ops/s
# Warmup Iteration   3: 2350301,903 ops/s
# Warmup Iteration   4: 2356195,062 ops/s
# Warmup Iteration   5: 2334830,854 ops/s
Iteration   1: 2356526,654 ops/s
Iteration   2: 2361856,741 ops/s
Iteration   3: 2359743,837 ops/s
Iteration   4: 2367433,244 ops/s
Iteration   5: 2365392,004 ops/s

# Run progress: 65,00% complete, ETA 00:11:42
# Fork: 4 of 5
# Warmup Iteration   1: 2201452,696 ops/s
# Warmup Iteration   2: 2332338,703 ops/s
# Warmup Iteration   3: 2223732,734 ops/s
# Warmup Iteration   4: 2294241,658 ops/s
# Warmup Iteration   5: 2336778,987 ops/s
Iteration   1: 2344456,180 ops/s
Iteration   2: 2346890,713 ops/s
Iteration   3: 2339530,514 ops/s
Iteration   4: 2320366,985 ops/s
Iteration   5: 2295676,945 ops/s

# Run progress: 70,00% complete, ETA 00:10:02
# Fork: 5 of 5
# Warmup Iteration   1: 2163163,153 ops/s
# Warmup Iteration   2: 2258989,954 ops/s
# Warmup Iteration   3: 2276092,891 ops/s
# Warmup Iteration   4: 2237043,564 ops/s
# Warmup Iteration   5: 2265415,342 ops/s
Iteration   1: 2265711,266 ops/s
Iteration   2: 2258271,661 ops/s
Iteration   3: 2250708,643 ops/s
Iteration   4: 2270734,070 ops/s
Iteration   5: 2270931,395 ops/s


Result "eu.happycoders.int2string.IntToStringBenchmark.option3":
  2284026,871 ±(99.9%) 66023,032 ops/s [Average]
  (min, avg, max) = (1971709,758, 2284026,871, 2367433,244), stdev = 88138,858
  CI (99.9%): [2218003,839, 2350049,902] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_202, Java HotSpot(TM) 64-Bit Server VM, 25.202-b08
# VM invoker: C:\Program Files\Java\jdk1.8.0_202\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option4

# Run progress: 75,00% complete, ETA 00:08:21
# Fork: 1 of 5
# Warmup Iteration   1: 23569392,370 ops/s
# Warmup Iteration   2: 23977867,233 ops/s
# Warmup Iteration   3: 23889932,980 ops/s
# Warmup Iteration   4: 23895062,673 ops/s
# Warmup Iteration   5: 23893158,554 ops/s
Iteration   1: 23918589,678 ops/s
Iteration   2: 23866441,979 ops/s
Iteration   3: 23898353,471 ops/s
Iteration   4: 23906906,892 ops/s
Iteration   5: 23875252,749 ops/s

# Run progress: 80,00% complete, ETA 00:06:41
# Fork: 2 of 5
# Warmup Iteration   1: 23264280,254 ops/s
# Warmup Iteration   2: 23958670,385 ops/s
# Warmup Iteration   3: 23844858,977 ops/s
# Warmup Iteration   4: 23965302,691 ops/s
# Warmup Iteration   5: 23908614,831 ops/s
Iteration   1: 23959318,606 ops/s
Iteration   2: 23892918,660 ops/s
Iteration   3: 23911197,997 ops/s
Iteration   4: 23835488,229 ops/s
Iteration   5: 23889306,899 ops/s

# Run progress: 85,00% complete, ETA 00:05:01
# Fork: 3 of 5
# Warmup Iteration   1: 23583068,693 ops/s
# Warmup Iteration   2: 23636520,565 ops/s
# Warmup Iteration   3: 23591296,558 ops/s
# Warmup Iteration   4: 23702365,966 ops/s
# Warmup Iteration   5: 23646352,842 ops/s
Iteration   1: 23414901,757 ops/s
Iteration   2: 23641955,036 ops/s
Iteration   3: 23641135,200 ops/s
Iteration   4: 23695437,693 ops/s
Iteration   5: 23634615,513 ops/s

# Run progress: 90,00% complete, ETA 00:03:20
# Fork: 4 of 5
# Warmup Iteration   1: 23607843,135 ops/s
# Warmup Iteration   2: 23950801,999 ops/s
# Warmup Iteration   3: 23690674,506 ops/s
# Warmup Iteration   4: 23698659,449 ops/s
# Warmup Iteration   5: 23554870,956 ops/s
Iteration   1: 23591352,520 ops/s
Iteration   2: 23597317,443 ops/s
Iteration   3: 23464561,076 ops/s
Iteration   4: 23621289,261 ops/s
Iteration   5: 23573790,136 ops/s

# Run progress: 95,00% complete, ETA 00:01:40
# Fork: 5 of 5
# Warmup Iteration   1: 23327310,323 ops/s
# Warmup Iteration   2: 23974701,362 ops/s
# Warmup Iteration   3: 23864619,567 ops/s
# Warmup Iteration   4: 23887358,821 ops/s
# Warmup Iteration   5: 23846582,403 ops/s
Iteration   1: 23898043,933 ops/s
Iteration   2: 23939382,095 ops/s
Iteration   3: 23886334,053 ops/s
Iteration   4: 23960613,203 ops/s
Iteration   5: 23928947,159 ops/s


Result "eu.happycoders.int2string.IntToStringBenchmark.option4":
  23777738,049 ±(99.9%) 126499,093 ops/s [Average]
  (min, avg, max) = (23414901,757, 23777738,049, 23960613,203), stdev = 168872,670
  CI (99.9%): [23651238,956, 23904237,143] (assumes normal distribution)


# Run complete. Total time: 00:33:26

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      Mode  Cnt         Score        Error  Units
IntToStringBenchmark.option1  thrpt   25  20939910,070 ± 240239,046  ops/s
IntToStringBenchmark.option2  thrpt   25  20920359,484 ± 182461,500  ops/s
IntToStringBenchmark.option3  thrpt   25   2284026,871 ±  66023,032  ops/s
IntToStringBenchmark.option4  thrpt   25  23777738,049 ± 126499,093  ops/s

Process finished with exit code 0
